Date,Engine,Press_Alt,IOAT,IAS,TQ,Np,T5,Ng,Wf,Oil_Temp,Oil_Press
2026-01-01,PK-OAM | LH (SN: PC-E101),3289.0,8.8,134.5,42.3,75.0,621.0,91.53,281.9,71.1,91.9
2026-01-02,PK-OAM | LH (SN: PC-E101),9193.0,-2.3,140.9,43.2,75.0,617.5,91.82,275.3,70.9,92.2
2026-01-03,PK-OAM | LH (SN: PC-E101),4279.0,4.9,135.4,42.5,75.0,619.4,91.62,279.7,71.8,91.8
2026-01-04,PK-OAM | LH (SN: PC-E101),10379.0,-7.0,132.2,41.7,75.0,613.1,91.68,267.4,70.7,92.2
2026-01-05,PK-OAM | LH (SN: PC-E101),10504.0,-6.3,137.7,42.1,75.0,613.7,91.67,268.2,71.7,92.1
2026-01-06,PK-OAM | LH (SN: PC-E101),8756.0,0.3,135.7,43.2,75.0,619.5,91.84,278.1,70.8,92.2
2026-01-07,PK-OAM | LH (SN: PC-E101),5663.0,3.8,139.1,42.8,75.0,619.9,91.66,279.0,70.7,91.6
2026-01-08,PK-OAM | LH (SN: PC-E101),10920.0,-7.7,135.9,42.5,75.0,613.8,91.72,268.6,70.4,91.7
2026-01-09,PK-OAM | LH (SN: PC-E101),10971.0,-7.4,132.2,42.0,75.0,612.9,91.67,267.9,71.1,92.4
2026-01-10,PK-OAM | LH (SN: PC-E101),9966.0,-4.7,140.9,41.7,75.0,613.3,91.58,268.5,70.8,92.1
2026-01-11,PK-OAM | LH (SN: PC-E101),10673.0,-8.5,136.4,43.8,75.0,615.9,92.07,272.2,71.3,91.6
2026-01-12,PK-OAM | LH (SN: PC-E101),10427.0,-8.0,136.8,42.1,75.0,613.1,91.76,267.6,71.2,92.0
2026-01-13,PK-OAM | LH (SN: PC-E101),1827.0,12.8,135.8,41.8,75.0,622.2,91.37,284.3,71.9,91.5
2026-01-14,PK-OAM | LH (SN: PC-E101),9255.0,-2.2,137.3,43.9,75.0,619.2,91.84,279.0,71.5,92.3
2026-01-15,PK-OAM | LH (SN: PC-E101),10395.0,-3.6,137.1,43.5,75.0,617.7,91.77,276.7,70.7,91.7
2026-01-16,PK-OAM | LH (SN: PC-E101),8407.0,-0.6,141.5,41.8,75.0,615.9,91.57,272.8,71.3,91.9
2026-01-17,PK-OAM | LH (SN: PC-E101),4688.0,7.6,131.3,43.3,75.0,623.4,91.64,285.2,71.2,91.8
2026-01-18,PK-OAM | LH (SN: PC-E101),10217.0,-4.2,131.4,43.7,75.0,618.4,91.84,277.6,71.6,92.7
2026-01-19,PK-OAM | LH (SN: PC-E101),6158.0,1.7,132.7,43.0,75.0,620.8,91.65,279.7,71.9,91.9
2026-01-20,PK-OAM | LH (SN: PC-E101),11246.0,-8.1,138.0,43.5,75.0,616.8,91.86,273.5,71.4,92.4
2026-01-21,PK-OAM | LH (SN: PC-E101),2296.0,11.2,132.5,41.6,75.0,622.9,91.31,284.5,71.3,90.7
2026-01-22,PK-OAM | LH (SN: PC-E101),11098.0,-6.8,130.9,43.6,75.0,618.5,91.78,274.8,70.8,91.9
2026-01-23,PK-OAM | LH (SN: PC-E101),10294.0,-5.2,131.7,42.5,75.0,617.3,91.57,273.6,71.8,91.6
2026-01-24,PK-OAM | LH (SN: PC-E101),9710.0,-3.5,136.9,42.9,75.0,619.2,91.63,276.0,71.5,91.8
2026-01-25,PK-OAM | LH (SN: PC-E101),3531.0,7.3,136.0,42.7,75.0,623.3,91.4,285.1,71.3,91.9
2026-01-26,PK-OAM | LH (SN: PC-E101),11107.0,-7.9,141.9,42.7,75.0,617.1,91.58,273.5,72.1,92.2
2026-01-27,PK-OAM | LH (SN: PC-E101),3848.0,5.9,130.3,41.4,75.0,621.4,91.3,281.7,71.9,91.9
2026-01-28,PK-OAM | LH (SN: PC-E101),11904.0,-9.9,141.8,42.8,75.0,616.4,91.59,271.8,71.9,91.7
2026-01-29,PK-OAM | LH (SN: PC-E101),1665.0,11.7,135.6,41.2,75.0,624.1,91.17,285.5,71.0,91.7
2026-01-30,PK-OAM | LH (SN: PC-E101),8434.0,-3.9,133.8,43.6,75.0,621.3,91.55,279.4,71.6,91.7
2026-01-31,PK-OAM | LH (SN: PC-E101),8919.0,-0.8,135.3,43.7,75.0,623.2,91.57,283.0,72.0,91.4
2026-02-01,PK-OAM | LH (SN: PC-E101),9988.0,-3.0,129.8,42.8,75.0,620.4,91.56,279.0,71.7,91.7
2026-02-02,PK-OAM | LH (SN: PC-E101),4701.0,4.9,133.5,42.6,75.0,624.4,91.3,285.3,71.6,91.8
2026-02-03,PK-OAM | LH (SN: PC-E101),11429.0,-6.7,133.6,42.8,75.0,619.5,91.44,276.6,72.3,91.7
2026-02-04,PK-OAM | LH (SN: PC-E101),8566.0,-2.1,138.5,42.1,75.0,620.3,91.29,278.1,71.3,91.6
2026-02-05,PK-OAM | LH (SN: PC-E101),9595.0,-4.9,138.0,42.4,75.0,620.4,91.35,276.3,71.6,91.7
2026-02-06,PK-OAM | LH (SN: PC-E101),10584.0,-6.4,137.1,43.6,75.0,621.7,91.53,280.2,71.5,91.8
2026-02-07,PK-OAM | LH (SN: PC-E101),8598.0,-3.4,129.1,42.4,75.0,621.5,91.31,278.2,70.6,91.5
2026-02-08,PK-OAM | LH (SN: PC-E101),6658.0,2.4,130.3,43.7,75.0,626.3,91.47,287.6,70.8,91.9
2026-02-09,PK-OAM | LH (SN: PC-E101),11976.0,-7.1,133.2,41.3,75.0,618.3,91.25,271.7,71.9,91.7
2026-02-10,PK-OAM | LH (SN: PC-E101),5095.0,7.3,137.2,41.1,75.0,624.4,91.0,283.7,71.6,91.8
2026-02-11,PK-OAM | LH (SN: PC-E101),8995.0,-3.7,136.4,41.5,75.0,620.3,91.22,276.7,71.8,91.5
2026-02-12,PK-OAM | LH (SN: PC-E101),8319.0,-1.0,139.6,43.2,75.0,624.4,91.25,284.0,71.9,91.7
2026-02-13,PK-OAM | LH (SN: PC-E101),8219.0,-1.6,132.4,43.5,75.0,625.7,91.3,284.1,72.4,91.8
2026-02-14,PK-OAM | LH (SN: PC-E101),8393.0,-2.0,128.4,43.7,75.0,625.3,91.34,284.7,71.9,91.8
2026-02-15,PK-OAM | LH (SN: PC-E101),10453.0,-5.3,132.1,41.8,75.0,620.7,91.11,276.5,71.9,92.2
2026-02-16,PK-OAM | LH (SN: PC-E101),2246.0,12.1,141.0,41.4,75.0,628.2,90.88,290.9,72.1,91.8
2026-02-17,PK-OAM | LH (SN: PC-E101),10800.0,-4.6,139.4,42.7,75.0,623.4,91.2,280.7,71.5,91.7
2026-02-18,PK-OAM | LH (SN: PC-E101),7514.0,1.9,129.3,41.7,75.0,624.7,91.05,283.2,72.0,91.0
2026-02-19,PK-OAM | LH (SN: PC-E101),8890.0,-4.8,139.8,43.0,75.0,624.3,91.25,281.1,72.1,91.3
2026-02-20,PK-OAM | LH (SN: PC-E101),8340.0,-1.4,133.5,42.4,75.0,624.5,91.08,283.1,72.5,91.0
2026-02-21,PK-OAM | LH (SN: PC-E101),11310.0,-7.6,131.6,43.9,75.0,625.5,91.42,282.5,71.3,91.4
2026-02-22,PK-OAM | LH (SN: PC-E101),11068.0,-6.7,135.0,43.9,75.0,625.6,91.42,284.0,72.1,91.8
2026-02-23,PK-OAM | LH (SN: PC-E101),11300.0,-8.2,136.2,42.2,75.0,621.7,91.15,276.7,72.1,91.6
2026-02-24,PK-OAM | LH (SN: PC-E101),4561.0,4.6,132.1,42.3,75.0,628.7,90.95,288.4,72.3,91.2
2026-02-25,PK-OAM | LH (SN: PC-E101),11995.0,-7.7,135.6,44.5,75.0,626.4,91.38,285.8,72.7,92.1
2026-02-26,PK-OAM | LH (SN: PC-E101),10621.0,-7.3,136.2,42.2,75.0,623.2,91.13,277.9,72.4,91.7
2026-02-27,PK-OAM | LH (SN: PC-E101),10921.0,-2.7,141.7,43.6,75.0,628.0,91.2,287.0,72.3,91.8
2026-02-28,PK-OAM | LH (SN: PC-E101),7283.0,1.7,138.8,41.3,75.0,626.0,90.82,284.5,71.6,91.4
2026-03-01,PK-OAM | LH (SN: PC-E101),11435.0,-7.6,129.4,42.5,75.0,623.6,91.11,279.8,72.3,91.3
2026-03-02,PK-OAM | LH (SN: PC-E101),6529.0,2.0,140.5,42.2,75.0,627.7,90.87,288.2,72.9,91.5
2026-03-03,PK-OAM | LH (SN: PC-E101),10687.0,-5.0,138.0,44.3,75.0,628.9,91.22,288.7,71.6,91.2
2026-03-04,PK-OAM | LH (SN: PC-E101),2091.0,11.5,137.9,43.4,75.0,634.8,91.06,300.2,71.5,91.4
2026-03-05,PK-OAM | LH (SN: PC-E101),11450.0,-7.5,133.2,42.6,75.0,625.4,91.08,282.0,72.4,91.3
2026-03-06,PK-OAM | LH (SN: PC-E101),9247.0,-3.2,141.0,41.2,75.0,624.7,90.76,281.2,72.2,91.6
2026-03-07,PK-OAM | LH (SN: PC-E101),10036.0,-5.3,131.3,43.1,75.0,627.5,91.06,284.4,72.7,91.1
2026-03-08,PK-OAM | LH (SN: PC-E101),10106.0,-3.7,134.4,43.8,75.0,629.5,91.07,289.7,72.7,91.2
2026-03-09,PK-OAM | LH (SN: PC-E101),10855.0,-5.4,138.7,44.4,75.0,629.6,91.21,290.1,72.3,91.9
2026-03-10,PK-OAM | LH (SN: PC-E101),11200.0,-6.7,138.0,43.5,75.0,627.8,91.18,286.0,72.4,91.7
2026-03-11,PK-OAM | LH (SN: PC-E101),8252.0,-3.0,136.1,44.2,75.0,631.2,91.16,292.0,71.8,91.1
2026-03-12,PK-OAM | LH (SN: PC-E101),6526.0,1.4,140.7,41.8,75.0,629.2,90.69,288.9,72.5,91.4
2026-03-13,PK-OAM | LH (SN: PC-E101),10727.0,-6.5,132.2,44.5,75.0,619.0,91.97,277.6,72.0,91.2
2026-03-14,PK-OAM | LH (SN: PC-E101),11498.0,-9.1,138.9,43.0,75.0,615.3,91.78,269.9,72.1,91.3
2026-03-15,PK-OAM | LH (SN: PC-E101),9977.0,-4.5,136.2,42.9,75.0,616.9,91.66,274.5,71.9,91.4
2026-03-16,PK-OAM | LH (SN: PC-E101),2298.0,9.2,138.9,42.5,75.0,622.6,91.48,283.7,72.8,91.3
2026-03-17,PK-OAM | LH (SN: PC-E101),8085.0,0.6,134.5,42.0,75.0,617.9,91.51,274.6,72.6,91.2
2026-03-18,PK-OAM | LH (SN: PC-E101),2278.0,12.9,128.2,44.2,75.0,627.4,91.71,293.2,72.7,91.6
2026-03-19,PK-OAM | LH (SN: PC-E101),8390.0,0.7,137.1,44.3,75.0,621.3,91.86,282.6,72.8,91.5
2026-03-20,PK-OAM | LH (SN: PC-E101),7617.0,-0.3,135.3,43.2,75.0,619.0,91.7,278.6,72.8,91.1
2026-03-21,PK-OAM | LH (SN: PC-E101),11963.0,-8.9,139.3,42.3,75.0,614.5,91.71,269.1,72.4,91.0
2026-03-22,PK-OAM | LH (SN: PC-E101),2686.0,9.9,140.1,43.4,75.0,624.7,91.57,287.6,72.9,91.0
2026-03-23,PK-OAM | LH (SN: PC-E101),11137.0,-4.7,140.3,43.6,75.0,618.3,91.84,276.1,72.6,91.5
2026-03-24,PK-OAM | LH (SN: PC-E101),6642.0,-1.0,141.1,41.2,75.0,616.0,91.43,272.4,72.2,91.6
2026-03-25,PK-OAM | LH (SN: PC-E101),9090.0,-2.2,138.3,43.0,75.0,618.4,91.77,276.5,72.3,90.9
2026-03-26,PK-OAM | LH (SN: PC-E101),7032.0,1.4,139.1,43.9,75.0,622.1,91.78,282.4,72.5,91.6
2026-03-27,PK-OAM | LH (SN: PC-E101),9910.0,-5.8,142.0,43.6,75.0,617.8,91.8,276.2,72.9,91.1
2026-03-28,PK-OAM | LH (SN: PC-E101),8452.0,-1.1,133.5,41.6,75.0,616.1,91.44,273.8,72.5,91.6
2026-03-29,PK-OAM | LH (SN: PC-E101),9253.0,-5.0,142.0,42.0,75.0,615.3,91.57,271.0,72.5,91.1
2026-03-30,PK-OAM | LH (SN: PC-E101),10902.0,-5.0,138.2,41.6,75.0,614.6,91.48,270.2,73.0,91.3
2026-03-31,PK-OAM | LH (SN: PC-E101),11547.0,-6.8,141.3,42.6,75.0,615.5,91.71,271.0,72.7,91.4
2026-04-01,PK-OAM | LH (SN: PC-E101),1573.0,11.7,136.5,43.1,75.0,624.5,91.52,288.8,73.0,91.0
2026-04-02,PK-OAM | LH (SN: PC-E101),9929.0,-4.8,139.7,41.1,75.0,613.4,91.5,268.6,72.9,90.4
2026-04-03,PK-OAM | LH (SN: PC-E101),7246.0,0.5,138.2,42.2,75.0,618.1,91.54,276.2,72.5,90.8
2026-04-04,PK-OAM | LH (SN: PC-E101),10988.0,-6.7,138.9,41.5,75.0,613.6,91.5,268.0,71.9,90.7
2026-04-05,PK-OAM | LH (SN: PC-E101),2423.0,9.6,135.2,41.1,75.0,620.2,91.32,281.0,73.1,91.4
