Date,Engine,Press_Alt,IOAT,IAS,TQ,Np,T5,Ng,Wf,Oil_Temp,Oil_Press
2026-01-01,LH,11000,10.2,133.6,40.0,75.0,625.3,91.53,290.5,73.7,91.4
2026-01-02,LH,11000,9.9,134.6,40.0,75.0,625.8,91.43,289.5,74.5,90.5
2026-01-03,LH,11000,10.3,134.7,40.0,75.0,625.4,91.53,290.3,71.9,91.4
2026-01-04,LH,11000,10.8,134.2,40.0,75.0,628.1,91.53,290.6,73.5,91.7
2026-01-05,LH,11000,9.9,134.8,40.0,75.0,625.8,91.53,289.8,72.5,91.2
2026-01-06,LH,11000,9.9,135.4,40.0,75.0,625.6,91.46,289.9,72.6,91.9
2026-01-07,LH,11000,10.8,136.9,40.0,75.0,624.6,91.5,291.2,72.5,90.6
2026-01-08,LH,11000,10.4,135.2,40.0,75.0,623.5,91.53,289.2,72.3,90.4
2026-01-09,LH,11000,9.8,135.3,40.0,75.0,624.6,91.55,290.0,73.0,90.1
2026-01-10,LH,11000,10.3,134.9,40.0,75.0,624.1,91.46,290.3,72.3,91.7
2026-01-11,LH,11000,9.8,133.1,40.0,75.0,624.4,91.51,290.0,73.2,91.3
2026-01-12,LH,11000,9.8,135.0,40.0,75.0,624.5,91.61,290.3,73.0,91.0
2026-01-13,LH,11000,10.1,135.1,40.0,75.0,623.4,91.51,289.7,72.8,91.1
2026-01-14,LH,11000,9.0,137.5,40.0,75.0,625.7,91.46,289.9,72.3,90.4
2026-01-15,LH,11000,9.1,134.8,40.0,75.0,625.4,91.54,289.4,72.5,92.2
2026-01-16,LH,11000,9.7,135.3,40.0,75.0,624.7,91.48,289.7,73.6,91.1
2026-01-17,LH,11000,9.5,135.0,40.0,75.0,626.4,91.52,289.4,73.4,91.1
2026-01-18,LH,11000,10.2,133.8,40.0,75.0,625.7,91.61,290.5,72.2,91.4
2026-01-19,LH,11000,9.5,136.1,40.0,75.0,623.8,91.48,290.6,73.1,91.2
2026-01-20,LH,11000,9.3,135.8,40.0,75.0,624.4,91.52,290.4,73.6,91.1
2026-01-21,LH,11000,10.7,135.8,40.0,75.0,624.3,91.5,288.4,71.7,90.6
2026-01-22,LH,11000,9.9,134.1,40.0,75.0,624.2,91.49,289.4,73.4,91.2
2026-01-23,LH,11000,10.0,136.4,40.0,75.0,626.3,91.43,289.8,72.5,91.9
2026-01-24,LH,11000,9.3,133.6,40.0,75.0,625.1,91.57,289.3,73.5,91.7
2026-01-25,LH,11000,9.7,135.6,40.0,75.0,625.9,91.5,289.5,72.4,91.8
2026-01-26,LH,11000,10.1,137.2,40.0,75.0,625.4,91.51,289.7,71.6,90.7
2026-01-27,LH,11000,9.4,134.0,40.0,75.0,625.1,91.48,290.1,71.7,90.5
2026-01-28,LH,11000,10.2,134.4,40.0,75.0,625.5,91.58,289.4,73.0,90.9
2026-01-29,LH,11000,9.7,135.1,40.0,75.0,626.7,91.4,289.9,73.2,91.0
2026-01-30,LH,11000,9.9,134.5,40.0,75.0,625.5,91.51,289.7,72.3,91.5
2026-01-31,LH,11000,9.7,133.4,40.0,75.0,624.8,91.48,289.7,73.5,90.2
2026-02-01,LH,11000,10.9,135.1,40.0,75.0,625.7,91.52,289.7,71.7,91.8
2026-02-02,LH,11000,10.0,133.9,40.0,75.0,625.7,91.52,290.4,72.9,90.9
2026-02-03,LH,11000,9.5,135.5,40.0,75.0,625.5,91.46,289.7,72.0,90.8
2026-02-04,LH,11000,10.4,134.1,40.0,75.0,625.6,91.53,290.0,72.5,90.5
2026-02-05,LH,11000,9.4,136.5,40.0,75.0,625.1,91.56,289.7,73.0,90.2
2026-02-06,LH,11000,10.1,134.2,40.0,75.0,625.4,91.49,289.9,72.3,91.4
2026-02-07,LH,11000,9.0,134.7,40.0,75.0,625.9,91.54,290.4,72.7,91.0
2026-02-08,LH,11000,9.3,135.8,40.0,75.0,626.0,91.5,290.3,73.8,90.4
2026-02-09,LH,11000,10.1,133.8,40.0,75.0,624.8,91.52,289.9,72.5,90.4
2026-02-10,LH,11000,10.4,135.2,40.0,75.0,625.1,91.53,289.6,73.7,90.8
2026-02-11,LH,11000,10.1,136.3,40.0,75.0,626.7,91.45,289.4,72.1,91.8
2026-02-12,LH,11000,9.9,133.4,40.0,75.0,625.9,91.54,290.3,73.4,90.9
2026-02-13,LH,11000,9.8,135.2,40.0,75.0,625.5,91.5,289.6,74.2,90.2
2026-02-14,LH,11000,9.3,135.3,40.0,75.0,625.1,91.47,290.5,71.0,90.9
2026-02-15,LH,11000,9.6,135.8,40.0,75.0,624.9,91.46,289.8,72.4,90.9
2026-02-16,LH,11000,9.8,133.8,40.0,75.0,625.3,91.47,289.6,73.5,89.7
2026-02-17,LH,11000,10.5,133.7,40.0,75.0,625.2,91.51,289.7,72.8,91.0
2026-02-18,LH,11000,10.2,135.5,40.0,75.0,624.6,91.51,289.3,73.3,90.9
2026-02-19,LH,11000,9.1,135.3,40.0,75.0,623.9,91.46,289.9,72.5,91.3
2026-02-20,LH,11000,10.2,135.3,40.0,75.0,625.2,91.57,290.4,73.1,91.9
2026-02-21,LH,11000,9.8,135.3,40.0,75.0,625.1,91.48,289.7,72.9,91.6
2026-02-22,LH,11000,9.7,134.3,40.0,75.0,625.5,91.45,290.6,73.9,90.9
2026-02-23,LH,11000,10.3,135.2,40.0,75.0,625.1,91.47,291.4,73.2,90.4
2026-02-24,LH,11000,10.5,135.3,40.0,75.0,626.0,91.44,291.1,73.3,92.3
2026-02-25,LH,11000,10.5,134.3,40.0,75.0,626.0,91.41,291.0,72.7,91.0
2026-02-26,LH,11000,9.6,136.9,40.0,75.0,626.7,91.34,291.2,72.6,91.0
2026-02-27,LH,11000,9.8,135.5,40.0,75.0,627.3,91.43,291.9,72.7,91.0
2026-02-28,LH,11000,10.2,133.8,40.0,75.0,628.9,91.3,292.0,73.3,91.1
2026-03-01,LH,11000,10.5,135.7,40.0,75.0,627.5,91.43,291.4,72.7,90.9
2026-03-02,LH,11000,9.8,134.0,40.0,75.0,627.0,91.27,290.9,73.2,90.7
2026-03-03,LH,11000,9.9,135.8,40.0,75.0,627.5,91.24,292.3,74.7,90.7
2026-03-04,LH,11000,9.4,136.2,40.0,75.0,628.5,91.35,292.9,73.7,91.0
2026-03-05,LH,11000,9.4,134.2,40.0,75.0,628.0,91.2,292.8,72.7,90.7
2026-03-06,LH,11000,10.4,136.0,40.0,75.0,627.7,91.31,293.4,74.0,90.6
2026-03-07,LH,11000,10.7,135.4,40.0,75.0,628.6,91.11,293.7,72.7,91.1
